name,slug,website,email,phone,regions,category,service_types,description,lat,lng,address,group_friendly
TYF Adventure,tyf-adventure,https://www.tyf.com,enquiry@tyf.com,01437 721611,Pembrokeshire,activity_provider,"Equipment Hire|Coasteering","Pioneering adventure company offering equipment hire and tours.",51.880,-5.260,"St Davids",true
Llangorse Multi Activity Centre,llangorse-multi-activity-centre,https://www.llangorse.com,info@llangorse.com,01874 658271,Brecon Beacons,activity_provider,"Equipment Hire|Indoor Climbing","Multi-activity centre with equipment hire facilities.",51.930,-3.260,"Llangorse",true
West Wales Windsurf,west-wales-windsurf,https://www.westwaleswindsurf.co.uk,,01758 713136,Llŷn Peninsula,activity_provider,"Windsurf Hire|Camping","Campsite with watersports focus and hire.",52.830,-4.450,"Abersoch",true
Hell's Mouth Surf School,hells-mouth-surf-school,https://www.hellsmouthsurfschool.co.uk,,,Llŷn Peninsula,activity_provider,"Surf Hire|Lessons","Surf school offering lessons and hire at Hell's Mouth.",52.810,-4.550,"Porth Neigwl",true
Meadow Springs,meadow-springs,https://www.visitmidwales.co.uk,,01686 430467,Mid Wales,activity_provider,"SUP Hire|Watersports","SUP and watersports centre in Mid Wales.",52.500,-3.500,"Trefeglwys",true
Plas Menai,plas-menai,https://www.plasmenai.co.uk,info@plasmenai.co.uk,0300 300 3112,North Wales|Anglesey,activity_provider,"Equipment Hire|Courses","National Outdoor Centre offering courses and equipment use.",53.150,-4.220,"Caernarfon",true
Cardiff International White Water,ciww,https://www.ciww.com,info@ciww.com,029 2082 9970,South Wales,activity_provider,"SUP Hire|Kayak Hire|Rafting","White water centre with equipment hire.",51.450,-3.180,"Cardiff",true
Llyn Cycle Centre,llyn-cycle-centre,https://llyncyclecentre.co.uk,,01758 612414,Llŷn Peninsula,activity_provider,"Bike Hire|Shop","Cycle hire and shop on the Llŷn Peninsula.",52.880,-4.410,"Pwllheli",false
Beddgelert Bikes,beddgelert-bikes,https://www.beddgelertbikes.co.uk,,01766 890434,Snowdonia,activity_provider,"Bike Hire|Shop","Bike hire in the heart of Snowdonia.",53.010,-4.100,"Beddgelert",false
Beics Betws,beics-betws,https://www.beicsbetws.co.uk,,01690 710766,Snowdonia,activity_provider,"Bike Hire|Shop","Bike hire in Betws-y-Coed.",53.090,-3.800,"Betws-y-Coed",false
Evolution Bikes,evolution-bikes,https://www.evolution-bikes.co.uk,,01248 355770,North Wales,activity_provider,"Bike Hire|Shop","Bike shop and hire in Bangor.",53.220,-4.120,"Bangor",false
Marsh Tracks,marsh-tracks,https://www.marshtracks.co.uk,,01745 352723,North Wales,activity_provider,"Bike Hire|BMX","Closed road cycling circuit and BMX track with hire.",53.310,-3.500,"Rhyl",true
Porthcawl Surf School,porthcawl-surf-school,https://www.porthcawlsurf.co.uk,,07583 348013,South Wales,activity_provider,"Surf Hire|Lessons","Surf school and hire at Rest Bay.",51.490,-3.720,"Porthcawl",true
Wye Valley Canoes,wye-valley-canoes,https://www.wyevalleycanoes.co.uk,,01497 847213,Mid Wales|Wye Valley,activity_provider,"Canoe Hire|Kayak Hire","Canoe and kayak hire on the River Wye.",52.030,-3.170,"Glasbury",true
Celtic Canoes,celtic-canoes,https://celticcanoes.co.uk,,01497 820604,Mid Wales|Wye Valley,activity_provider,"Canoe Hire","Canoe hire specialists on the Wye.",52.070,-3.120,"Hay-on-Wye",true
Monmouth Canoe,monmouth-canoe,https://www.monmouthcanoe.co.uk,,01600 716083,South Wales|Wye Valley,activity_provider,"Canoe Hire","Canoe hire centre in Monmouth.",51.810,-2.710,"Monmouth",true
Snowdonia Watersports,snowdonia-watersports,https://www.snowdoniawatersports.com,,01286 879001,Snowdonia,activity_provider,"Kayak Hire|SUP Hire","Watersports shop and hire on Llyn Padarn.",53.110,-4.120,"Llanberis",true
Bala Watersports,bala-watersports,https://balawatersports.com,,01678 521059,Snowdonia,activity_provider,"Kayak Hire|SUP Hire","Watersports centre on Llyn Tegid.",52.910,-3.590,"Bala",true
Newsurf,newsurf,https://www.newsurf.co.uk,,01437 721398,Pembrokeshire,activity_provider,"Surf Hire|Shop","Surf shop and hire right at Newgale beach.",51.850,-5.120,"Newgale",true
Big Blue Experience,big-blue-experience,https://www.bigblueexperience.co.uk,,07816 169359,Pembrokeshire,activity_provider,"Kitesurf Hire|SUP Hire","Watersports school and hire in Newgale.",51.850,-5.120,"Newgale",true
Haven Sports,haven-sports,https://www.havensports.co.uk,,01437 781354,Pembrokeshire,activity_provider,"Surf Hire|Shop","Watersports shop and hire in Broad Haven.",51.780,-5.100,"Broad Haven",true
Tenby Adventure,tenby-adventure,https://www.tenbyadventure.co.uk,,07896 657262,Pembrokeshire,activity_provider,"Kayak Hire|Coasteering","Adventure provider in Tenby.",51.670,-4.700,"Tenby",true
Saundersfoot Pleasure Boats,saundersfoot-pleasure-boats,https://saundersfootpleasureboats.co.uk,,,Pembrokeshire,activity_provider,"Boat Hire","Boat hire and trips from Saundersfoot.",51.710,-4.690,"Saundersfoot",true
